"column2","name","star","review","rating","price","address"
"97","Global Luxury Suites at 10 Hanover Square","4","","","","Wall Street - Financial District"
"98","Global Luxury Suites at 800 6th Avenue","4","","","","Chelsea"
"99","Global Luxury Suites at 95 Wall","4","","","","Wall Street - Financial District"
"100","Global Luxury Suites at Ritz Plaza","","","","","New York"
"101","Global Luxury Suites at The Pearl","4","","","","Upper East Side"
"102","GRAMERCY PARK SPACIOUS 1 BR APT","2","8","7.6","304","Gramercy"
"103","Gramercy Park Two Bedroom Apartment","2","","","","Chelsea"
"104","Great Location Midtown East 35th Street and Third Ave","3","9","7.5","","Murray Hill"
"105","Green Holidays Apartments","","106","7.3","","New York"
"106","Hamilton Heights Lovely 2 Bedroom","2","","","","Harlem"
"107","Hamilton Heights: Renovated 3 Bedroom","2","","","","Harlem"
"108","Hampton Inn Madison Square Garden","","768","8.5","379","Chelsea"
"109","Hampton Inn Madison Square Garden","3","768","8.5","379","Chelsea"
"110","HGU New York","4","264","8.7","439","New York"
"111","HI NYC Hostel","","7595","8.4","","Upper West Side"
"112","Hilton Garden Inn Central Park South","4","4452","8.3","450","New York"
"113","Hilton Garden Inn New York/Tribeca","4","455","8.3","413","Tribeca"
"114","Hilton Garden Inn Times Square Central","3","1913","8.4","336","New York"
"115","Hilton Garden Inn Times Square Central","","1913","8.4","336","New York"
"116","Holiday Inn - Midtown - 57th Street","3","3920","7.6","319","Hell's Kitchen"
"117","Holiday Inn Express New York City Chelsea","3","3444","8","306","Chelsea"
"118","Holiday Inn Express Times Square - Fifth Avenue","","1830","7.6","387","New York"
"119","Holiday Inn Manhattan 6th Ave - Chelsea","4","2514","7.7","306","Chelsea"
"120","Holiday Inn Manhattan Financial District","4","2432","8.1","","Wall Street - Financial District"
"121","Home NYC","","112","9.6","","Harlem"
"122","Hotel 32 32","4","1679","8.1","342","New York"
"123","Hotel 50 Bowery","4","","","","Chinatown"
"124","Hotel 91","","1366","7.4","175","Chinatown"
"125","Hotel Alexander","2","","","","Upper West Side"
"126","Hotel Boutique at Grand Central","","1620","8.5","389","Midtown East"
"127","Hotel East Houston","3","1218","8.2","237","New York"
"128","Hotel Hugo","4","742","8.2","","SoHo"
"129","Hotel Hugo","4","742","8.2","","SoHo"
"130","Hotel Indigo Lower East Side","4","427","8.8","379","Lower East Side"
"131","Hotel Mulberry","3","1040","8.6","","Chinatown"
"132","Hotel Newton","3","1060","7.7","152","Upper West Side"
"133","Hotel Stanford NYC Koreatown","","2996","7.8","284","New York"
"134","""Hudson Central Park, A Morgans Hotel""","3","943","7.4","352","Hell's Kitchen"
